idx,p10_mean,p50_mean,p90_mean,p10_dev,p50_dev,p90_dev
1a,111448.8311728,111486.7523528,112960.6107242,970.413525687667,957.025759868027,1545.54443451582
1b,105447.080488,105490.2072118,106343.9508688,457.007921512779,435.902843818582,817.146530443131
2,18600,18600,18600,0,0,0
3a,0.00170498521944805,0.00181966284575573,0.00213914164310161,0.000294931282362549,0.000217215099672928,0.000300688699238524
3b,3.07598573603387e-07,0.000315224569187396,0.000340723798622502,0.000299123509955571,0.000149973952630061,0.000163442182059312
3c,0.00115141630959182,0.00151292977138066,0.00198666554352747,0.000498022799881902,0.000312264180851819,0.000583026213478452
3d,8.36964379052006e-05,0.000135819163802201,0.000330924268202632,0.000142085231769396,0.000117854477148048,0.000209542322254586
4a,0,0,0,0,0,0
4b,0,0,0,0,0,0
4c,1.1998918962578e-06,4.4448600822998e-05,0.000251115599519648,0.000146652599057648,0.000127826503430578,0.000221438746003766
4d,1.55858485334715e-12,7.85107343178575e-08,6.50487351240313e-06,3.50118596625506e-06,3.46830722305634e-06,6.30235318695033e-06
5,15000,16500,18600,2424.87113059643,1606.2378404209,2521.9040425837
6,8.49190574418665e-05,0.000158140955011229,0.000337165025521797,0.000149362848275456,0.000114687793508732,0.000202343872198637
